Loop,PWM,ADC,Error
1,49,502,-490
2,48,486,-474
3,47,475,-463
4,46,474,-462
5,45,458,-446
6,44,451,-439
7,43,434,-422
8,42,430,-418
9,41,415,-403
10,40,415,-403
11,39,395,-383
12,38,384,-372
13,37,378,-366
14,36,374,-362
15,35,361,-349
16,34,341,-329
17,33,340,-328
18,32,329,-317
19,31,315,-303
20,30,307,-295
21,29,291,-279
22,28,290,-278
23,27,281,-269
24,26,274,-262
25,25,253,-241
26,24,255,-243
27,23,243,-231
28,22,239,-227
29,21,226,-214
30,20,220,-208
31,19,201,-189
32,18,193,-181
33,17,186,-174
34,16,166,-154
35,15,167,-155
36,14,145,-133
37,13,146,-134
38,12,136,-124
39,11,119,-107
40,10,102,-90
41,9,92,-80
42,8,81,-69
43,7,81,-69
44,6,76,-64
45,5,69,-57
46,4,44,-32
47,3,41,-29
48,2,24,-12
49,2,12,0
